% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
12.921	5	1	1293	2	1	28	9422	0	0	0
12.961	5	1	1297	2	1	28	9422	0	0	0
12.971	5	1	1298	2	1	28	9422	0	0	0
13.011	5	1	1302	2	1	28	9422	0	0	0
13.021	5	1	1303	2	1	28	9422	0	0	0
13.061	5	1	1307	2	1	28	9422	0	0	0
13.071	5	1	1308	2	1	28	9422	0	0	0
13.111	5	1	1312	2	1	28	9422	0	0	0
13.121	5	1	1313	2	1	28	9422	0	0	0
13.128	5	1	1313	9	1	28	9422	0	0	0
13.161	5	1	1317	2	1	28	9422	0	0	0
13.171	5	1	1318	2	1	28	9422	0	0	0
13.211	5	1	1322	2	1	28	9422	0	0	0
13.221	5	1	1323	2	1	28	9422	0	0	0
13.261	5	1	1327	2	1	28	9422	0	0	0
13.271	5	1	1328	2	1	28	9422	0	0	0
13.311	5	1	1332	2	1	28	9422	0	0	0
13.321	5	1	1333	2	1	28	9422	0	0	0
13.361	5	1	1337	2	1	28	9422	0	0	0
13.371	5	1	1338	2	1	28	9422	0	0	0
13.411	5	1	1342	2	1	26	7708	0	0	0
13.421	5	1	1343	2	1	28	9422	0	0	0
13.461	5	1	1347	2	1	28	9422	0	0	0
13.471	5	1	1348	2	1	28	9422	0	0	0
13.478	5	1	1348	9	1	28	9422	0	0	0
13.511	5	1	1352	2	1	26	7708	0	0	0
13.521	5	1	1353	2	1	24	6882	0	0	0
13.561	5	1	1357	2	1	28	9422	0	0	0
13.571	5	1	1358	2	1	28	9422	0	0	0
13.611	5	1	1362	2	1	26	7708	0	0	0
13.621	5	1	1363	2	1	28	9422	0	0	0
13.628	5	1	1363	9	1	28	9422	0	0	0
13.661	4	1	1367	2	1	26	7708	0	0	0
13.671	4	1	1368	2	1	28	9422	0	0	0
13.711	4	1	1372	2	1	28	9422	0	0	0
13.718	4	1	1372	9	1	28	9422	0	0	0
13.721	4	1	1373	2	1	28	9422	0	0	0
13.761	4	1	1377	2	1	28	9422	0	0	0
13.768	4	1	1377	9	1	28	9422	0	0	0
13.771	4	1	1378	2	1	28	9422	0	0	0
13.811	4	1	1382	2	1	28	9422	0	0	0
13.821	4	1	1383	2	1	28	9422	0	0	0
13.861	4	1	1387	2	1	28	9422	0	0	0
13.871	4	1	1388	2	1	24	6882	0	0	0
13.911	4	1	1392	2	1	28	9422	0	0	0
13.921	4	1	1393	2	1	28	9422	0	0	0
13.961	4	1	1397	2	1	28	9422	0	0	0
13.971	4	1	1398	2	1	28	9422	0	0	0
14.011	4	1	1402	2	1	28	9422	0	0	0
14.021	4	1	1403	2	1	28	9422	0	0	0
14.061	4	1	1407	2	1	28	9422	0	0	0
14.071	4	1	1408	2	1	28	9422	0	0	0
14.111	4	1	1412	2	1	28	9422	0	0	0
14.121	4	1	1413	2	1	24	6882	0	0	0
14.161	4	1	1417	2	1	28	9422	0	0	0
14.171	4	1	1418	2	1	26	7708	0	0	0
14.211	4	1	1422	2	1	28	9422	0	0	0
14.221	4	1	1423	2	1	28	9422	0	0	0
14.261	4	1	1427	2	1	28	9422	0	0	0
14.271	4	1	1428	2	1	28	9422	0	0	0
14.278	4	1	1428	9	1	28	9422	0	0	0
14.311	4	1	1432	2	1	28	9422	0	0	0
14.321	4	1	1433	2	1	28	9422	0	0	0
14.328	4	1	1433	9	1	28	9422	0	0	0
14.361	4	1	1437	2	1	28	9422	0	0	0
14.371	4	1	1438	2	1	28	9422	0	0	0
