% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
7613	5	1	1	0	28	9422	0	1	0
7623	5	1	1	0	28	9422	0	1	0
7663	5	1	1	0	28	9422	0	1	0
7673	5	1	1	0	28	9422	0	1	0
7713	5	1	1	0	28	9422	0	1	0
7723	5	1	1	0	28	9422	0	1	0
7763	5	1	1	0	28	9422	0	1	0
7773	5	1	1	0	28	9422	0	1	0
7813	5	1	1	0	28	9422	0	1	0
7823	5	1	1	0	28	9422	0	1	0
7863	5	1	1	0	28	9422	0	1	0
7873	5	1	1	0	28	9422	0	1	0
7913	5	1	1	0	28	9422	0	1	0
7923	5	1	1	0	28	9422	0	1	0
7963	5	1	1	0	28	9422	0	1	0
7973	5	1	1	0	28	9422	0	1	0
8013	5	1	1	0	28	9422	0	1	0
8023	5	1	1	0	28	9422	0	1	0
8063	5	1	1	0	28	9422	0	1	0
8073	5	1	1	0	28	9422	0	1	0
8113	5	1	1	0	28	9422	0	1	0
8123	5	1	1	0	28	9422	0	1	0
8163	5	1	1	0	28	9422	0	1	0
8173	5	1	1	0	28	9422	0	1	0
8213	5	1	1	0	28	9422	0	1	0
8223	5	1	1	0	28	9422	0	1	0
8263	5	1	1	0	28	9422	0	1	0
8273	5	1	1	0	28	9422	0	1	0
8313	5	1	1	0	28	9422	0	1	0
8323	5	1	1	0	28	9422	0	1	0
8363	5	1	1	0	28	9422	0	1	0
8373	5	1	1	0	28	9422	0	1	0
8413	5	1	1	0	28	9422	0	1	0
8423	5	1	1	0	28	9422	0	1	0
8463	5	1	1	0	28	9422	0	1	0
8473	5	1	1	0	28	9422	0	1	0
8513	5	1	1	0	28	9422	0	1	0
8523	5	1	1	0	28	9422	0	1	0
8563	5	1	1	0	28	9422	0	1	0
8573	5	1	1	0	28	9422	0	1	0
8613	5	1	1	0	28	9422	0	1	0
8623	5	1	1	0	28	9422	0	1	0
8663	5	1	1	0	28	9422	0	1	0
8673	5	1	1	0	28	9422	0	1	0
8713	5	1	1	0	28	9422	0	1	0
8723	5	1	1	0	28	9422	0	1	0
8763	5	1	1	0	28	9422	0	1	0
8773	5	1	1	0	28	9422	0	1	0
8813	5	1	1	0	28	9422	0	1	0
8823	5	1	1	0	28	9422	0	1	0
8863	5	1	1	0	28	9422	0	1	0
8873	5	1	1	0	28	9422	0	1	0
8913	5	1	1	0	28	9422	0	1	0
8923	5	1	1	0	28	9422	0	1	0
8963	5	1	1	0	28	9422	0	1	0
8973	5	1	1	0	28	9422	0	1	0
9013	5	1	1	0	28	9422	0	1	0
9023	5	1	1	0	28	9422	0	1	0
9063	5	1	1	0	28	9422	0	1	0
9073	5	1	1	0	28	9422	0	1	0
9113	5	1	1	0	28	9422	0	1	0
9123	5	1	1	0	28	9422	0	1	0
9163	5	1	1	0	28	9422	0	1	0
9173	5	1	1	0	28	9422	0	1	0
9213	5	1	1	0	28	9422	0	1	0
9223	5	1	1	0	28	9422	0	1	0
9263	5	1	1	0	28	9422	0	1	0
9273	5	1	1	0	28	9422	0	1	0
9313	5	1	1	0	28	9422	0	1	0
9323	5	1	1	0	28	9422	0	1	0
9363	5	1	1	0	28	9422	0	1	0
9373	5	1	1	0	28	9422	0	1	0
9413	5	1	1	0	28	9422	0	1	0
9423	5	1	1	0	28	9422	0	1	0
9463	5	1	1	0	28	9422	0	1	0
9473	5	1	1	0	28	9422	0	1	0
9513	5	1	1	0	28	9422	0	1	0
9523	5	1	1	0	28	9422	0	1	0
9563	5	1	1	0	28	9422	0	1	0
9573	5	1	1	0	28	9422	0	1	0
9613	5	1	1	0	28	9422	0	1	0
9623	5	1	1	0	28	9422	0	1	0
9663	5	1	1	0	28	9422	0	1	0
9673	5	1	1	0	28	9422	0	1	0
9713	5	1	1	0	28	9422	0	1	0
9723	5	1	1	0	28	9422	0	1	0
